epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.1758,1.80345,3.97705,1.89834,0.70221,0.00624,0.00339,0.00052,2.00673,6.29532,2.30857,0.00019863,0.00019863,0.0803356
2,39.8242,1.54018,3.26243,1.67147,0.32888,0.15802,0.04526,0.0138,1.70024,5.5293,1.87703,0.000398619,0.000398619,0.0605356
3,57.1113,1.41161,2.92813,1.55734,0.10087,0.23888,0.09216,0.02777,1.63852,3.72911,1.87324,0.000598565,0.000598565,0.0407356
4,73.9778,1.37086,2.77068,1.52373,0.30747,0.18806,0.18131,0.05309,1.55473,3.30271,1.73272,0.000798435,0.000798435,0.0209354
5,90.8157,1.32369,2.59523,1.48032,0.34804,0.37661,0.23393,0.08081,1.4849,2.79228,1.62678,0.000998197,0.000998197,0.00113518
6,107.704,1.31569,2.49594,1.46577,0.40422,0.25495,0.19573,0.06596,1.50271,2.9561,1.66899,0.000999322,0.000999322,0.000999322
7,124.509,1.31876,2.40702,1.44761,0.32391,0.32989,0.23685,0.08228,1.44713,2.87053,1.61774,0.000999023,0.000999023,0.000999023
8,141.259,1.28822,2.3782,1.41533,0.35777,0.34062,0.29411,0.11216,1.43831,2.55145,1.58412,0.000998671,0.000998671,0.000998671
9,158.664,1.26382,2.28534,1.40015,0.39035,0.34882,0.31983,0.12178,1.44126,2.80891,1.5946,0.000998264,0.000998264,0.000998264
10,175.441,1.26071,2.2059,1.38197,0.43641,0.40304,0.35978,0.14107,1.42148,2.35623,1.54679,0.000997803,0.000997803,0.000997803
11,192.141,1.23705,2.15411,1.36697,0.59648,0.36654,0.37001,0.13868,1.48028,2.39196,1.63036,0.000997288,0.000997288,0.000997288
12,209.97,1.2228,2.11655,1.36254,0.40342,0.45164,0.38488,0.15285,1.40752,2.48201,1.57063,0.00099672,0.00099672,0.00099672
13,227.797,1.23767,2.12264,1.36225,0.45088,0.40512,0.39669,0.15831,1.44163,2.85097,1.58685,0.000996097,0.000996097,0.000996097
